Assamese_Sentence	English_Translation
আম আদমী পাৰ্টীলৈ যাব নেকি কংগ্ৰেছ নেতা ৰিপুন বৰা?	Will Congress leader Ripun Bora join the Aam Aadmi Party?
২৭ ডিচেম্বৰত কেবাটাও পৰীক্ষা অনুষ্ঠিত হোৱালৈ লক্ষ্য ৰাখি পিছুৱাই দিয়া হৈছে পৰীক্ষা।	The exams have been postponed in view of the fact that some exams will be held on December 27.
নিজৰ প্ৰচাৰত নিজে উপস্থিত নথকা ঘটনাক লৈ এতিয়া আন আন ৰাজনৈতিক দলে সুযোগ লৈ তাহেৰ বেপাৰীৰ বিৰুদ্ধে বু বু বা বা আৰম্ভ কৰা পৰিলক্ষিত হৈছে।	Other political parties have now taken advantage of the fact that they are not present in their campaigns themselves and have started raising a boo-boo against Taher's business.
’‘চৰকাৰ পৰিবৰ্তন হ’ব, সেয়া নিশ্চিত।	"""There will be a change of government, that is for sure."
পৰ্যটকৰ কাৰণে বন্ধ হল কাজিৰঙা !	Kaziranga closed for tourists!
হনুমান মন্দিৰ, লালকিল্লা, জামা মছজিদ আৰু দিল্লী গে’ট হৈ উলিওৱা হ’ব এই সমদল।	The procession will pass through Hanuman Mandir, Red Fort, Jama Masjid and Delhi Gate.
উল্লেখ্য যে, এই আবেদনক লৈ বিগত ২৭জুলাইত ৰায়দান স্থগিত কৰি ৰাখিছিল ন্যায়ালয়ে।	It may be recalled that the court had reserved its verdict on the petition on July 27.
এইসকলে মিলি বিগত বৰ্ষত প্ৰায় ছয় লক্ষাধিক টকাৰ গাখীৰ বিক্ৰী কৰিবলৈ সক্ষম হৈছে।	Together, they have been able to sell milk worth about six lakh rupees in the past year.
বিশেষকৈ যদি পাকিস্তানৰ দৰে দল হয় তেতিয়া অধিক সতৰ্ক হোৱাতো দৰকাৰ।	Particularly if it's a team like Pakistan, you need to be more careful.
ইয়াৰ লগতে ৰাসায়নিক সাৰ আৰু অত্যাধিক কীটনাশক দৰৱ ব্যৱহাৰ কৰি উৎপাদিত শাক পাচলি বহু সংখ্যক লোকে ক্ৰয় কৰিবলৈ নিবিচাৰে যাৰ বাবে গ্ৰাম্যাঞ্চলৰ পৰা জৈৱিক কৃষি পদ্ধতিৰে উৎপাদিত সামগ্ৰীৰ চাহিদা যথেষ্ট বেছি।	Along with this, many people do not want to buy vegetables grown using chemical fertilizers and excessive pesticides, due to which the demand for organic farming products from rural areas is very high.
ইয়াৰ পিছতে সাংসদ খালেকে ন্যায়ালয়ৰ কাষ চাপিছিল।	Following this, MP Khaleque approached the court.
ইফালে, মুম্বাই ইণ্ডিয়ানছৰ অ’পেনাৰ ঈষাণ কিষণেও আই পি এলৰ শেহতীয়া দুখন মেচত বিস্ফোৰক অর্ধশতক অর্জন কৰিবলৈ সক্ষম হৈছিল৷	Meanwhile, Mumbai Indians opener Ishan Kishan also managed to score explosive fifties in the last two matches of the IPL.
অৱশেষত কামৰূপ আৰক্ষীৰ জালত পৰাৰ পাছত কামৰূপ জিলাৰ আৰক্ষী অধীক্ষক হিতেশ চন্দ্ৰ ৰয়ে ছয়গাঁও থানাত এক সংবাদমেল অনুষ্ঠিত কৰি মেঘালয়ৰ নংপু থানাত ১০৪/২১ নম্বৰত গোচৰ ৰুজু কৰা বুলি জানিবলৈ দিয়ে।	After Kamrup finally fell into the police net, the Superintendent of Police of Kamrup district, Hitesh Chandra Roy, held a press conference at Soygaon Police Station and informed that a case 104/21 had been registered at Nongpoh Police Station in Meghalaya.
ইতিমধ্যে বহুকেইখন কেন্দ্ৰীয় বিদ্যালয়ৰ অভিভাৱক সকলে সংশ্লিষ্ট বিদ্যালয়ৰ অধ্যক্ষক সাক্ষাৎ কৰি ছাত্ৰ-ছাত্ৰীৰ সুবিধাৰ প্ৰতি লক্ষ্য ৰাখি ইতিবাচক মতামত জনাবলৈ অনুৰোধ কৰিছে আৰু কেইবাগৰাকীও অধ্যক্ষই অভিভাৱকৰ দাবীৰ প্ৰতি সহমত প্ৰকাশ কৰি সপক্ষে মতামত প্ৰেৰণৰ আশ্বাস প্ৰদান কৰা বুলি বিজ্ঞপ্তিত উল্লেখ কৰে কেন্দ্ৰীয় বিদ্যালয় অভিভাৱক সন্থাই।	Parents of many Kendriya Vidyalayas have already met the principals of the respective schools and requested them to give positive feedback keeping in mind the convenience of the students and several principals have agreed to the demands of the parents and assured to send feedback in favour of the same, the release said.
নিয়মীয়া বাৰ্তা ১২ ছেপ্টেম্বৰঃ শনিবাৰে নিশা নসত্রৰ কৃষ্ণগুৰু সেৱাশ্রমত উপস্থিত হয় অসমৰ প্রাক্তন মুখ্যমন্ত্রী তথা কেন্দ্রীয় মন্ত্রী সর্বানন্দ সোণোৱাল৷	Regular Message 12th September: Former Chief Minister of Assam and Union Minister Sarbananda Sonowal arrived at Krishnaguru Sevashrama, Nastra on Saturday night.
শুকুৰবাৰে নিশা এই শোকাৱহ ঘটনাটো সংঘটিত হৈছিল।	The tragic incident took place on Friday night.
উল্লেখ্য যে সোমবাৰে নিশা দিল্লীৰ আৰ্মি ৰিছাৰ্চ এণ্ড ৰেফাৰেল হাস্পতালত মগজুৰ এটা জটিল অস্ত্ৰোপচাৰ সম্পন্ন হৈছিল প্ৰাক্তন ৰাষ্ট্ৰপতি প্ৰণৱ মুখাৰ্জীৰ।	It may be recalled that former President Pranab Mukherjee underwent a complex brain surgery at the Army Research and Referral Hospital in Delhi on Monday night.
বিটিচিৰ ভোটাৰেহে তেওঁলোকৰ ৰাজনৈতিক ভৱিষ্যৎ যিহেতু নিৰূপণ কৰে, সেয়ে অঞ্চলটোৰ ৰাইজৰ কাম–কাজ কৰাতেই বি পি এফে গুৰুত্ব দি আহিছে৷	Since it is the voters of the BTC who determine their political future, the BPF has been focusing on serving the people of the region.
উল্লেখযোগ্য যে দিল্লী বিধানসভা নিৰ্বাচনত ৬২খন আসন লাভ কৰিছে আম আদমী পাৰ্টীয়ে।	Notably, the Aam Aadmi Party has won 62 seats in the Delhi Assembly elections.
লক্ষণীয় ভাৱে অসমৰ বনাঞ্চলৰ ভূমিত অৰুণাচলীয়ে দখল কৰি কেনেদৰে বাসোপযোগী কৰি তুলিছে তাৰ ছবি দেখিবলৈ পোৱা হল ৷	Remarkably, images of how Arunachalees have encroached upon Assam's forest land have been brought to life.
শিৱসাগৰৰ জয়সাগৰ আৰক্ষী চকীৰ অন্তৰ্গত জয়সাগৰ তিনিআলিত আজি সংঘটিত হয় এই ভয়াৱহ পথ দুৰ্ঘটনাটো।	The ghastly road accident took place at Joysagar three-way under Joysagar Police Station in Sivasagar today.
আগন্তুক বিটিচি  নিৰ্বাচনত  ওদালগুৰি জিলাৰ মুঠ দহ খন আসনৰ ছয় খনেই নব শৰনীয়াৰ দলে পাব বুলি গুৰুত্বপূৰ্ণ  মন্তব্য কৰে।	Naba Sharaniya's party will get six out of the total ten seats in Udalguri district in the upcoming BTC election.
ওদালগুৰিৰ পিছত চিৰাংঃ এদিনতে বি টি এ ডিৰ দুখনকৈ জিলাত মৰণাস্ত্ৰ উদ্ধাৰ	After Udalguri, Chirang: Mortal remains recovered in two districts of BTAD in a day
তেওঁক নিজ কৰ্মস্থানৰ মালিকে আক্ৰমণ কৰি গুৰুতৰভাবে আহত কৰিছিল।	He was attacked and seriously injured by the owner of his workplace.
এই দুটা দিন গুৱাহাটীত ক’ত কেনেকৈ কটাইছিল কোৰোনাত আক্ৰান্ত ব্যক্তিগৰাকীয়ে।	How did the corona victim spend these two days in Guwahati?
উল্লেখ্য যে, ভগবান বিষ্ণুক উপাসনা কৰা উক্ত ঐতিহ্যমণ্ডিত মন্দিৰটো তাহানিতে এক অলৌকিক মহিমাৰে মণ্ডিত বুলি সৰ্বজণ বিদিত৷	It is to be noted that the said heritage temple, which worships Lord Vishnu, is then known to all as Mandit with a miraculous glory.
ইয়াৰ বিপৰীতে উপসর্গবিহীন শিশুসকলক ঘৰতে পিতৃ–মাতৃৰ সৈতে থকাৰ অনুমতি দিয়া হৈছে৷	In contrast, asymptomatic children are allowed to stay with their parents at home.
থোৰতে সুষমা স্বৰাজ	Sushma Swaraj in Thore
অভিনয় কৰাৰ বাবে সেই সময়ত যথেষ্ট প্ৰত্যাহ্বানৰ সন্মুখীন হৈছিল অনুপমা ভট্টাচাৰ্য।	Anupama Bhattacharya faced a lot of challenges at that time for acting.
কলিয়াবৰত ভয়ংকৰ দুৰ্ঘটনা।	Terrible tragedy in Kaliabor.
তেওঁ থাকে জু-ৰোডত।	He lives in Ju-Road.
নিয়মীয়া বাৰ্তা, ২৫ জানুৱাৰীঃ উজনি অসমৰ ক্ষুদ্ৰ জনগোষ্ঠীসকলৰ অন্যতম চেমা নগা সকলৰ লংটং চেমা নগা গাঁৱৰ আজি ১১৮ সংখ্যক প্ৰতিষ্ঠা দিৱস উপলক্ষে বাৰেবৰণীয়া সাংস্কৃতিক কাৰ্যসূচী অনুষ্ঠিত হয়।	Regular Message, 25th January: Longtong Sema Naga Village of Sema Nagas, one of the minority communities of Upper Assam, today celebrated its 118th Foundation Day with a colourful cultural programme.
প্ৰাপ্ত অভিযোগ অনুসৰি, পশ্চিম কামৰূপ বন সংমণ্ডলৰ অধীনৰ লোহাৰঘাট বনাঞ্চলিক কাৰ্যালয়ৰ অন্তৰ্গত বৰদুৱাৰ সংৰক্ষিত বনাঞ্চল, চানডুবিৰ সমীপৰ ২ নং জুপাংবাৰী, জিমপুটা, লুতিপথাৰত দীৰ্ঘ দিন ধৰি এটা অসাধু চক্ৰই বন ধ্বংস চলাই আহিছে।	According to the complaint received, an unscrupulous gang has been carrying out forest destruction for a long time at No. 2 Jupangbari, Jimputa, Lutipathar near Chandubi, a reserve forest of Bordua under Loharghat Forest Office under West Kamrup Forest Division.
উল্লেখ্য যে, কৰিমগঞ্জৰ আৰক্ষী অধীক্ষক মানবেন্দ্ৰ দেৱৰয়ে জিলাখনত যোগদান কৰাৰ পিচত ড্ৰাগছৰ বিৰুদ্ধে কঠোৰ স্হিতি গ্ৰহন কৰে৷	It may be noted that Karimganj Superintendent of Police Manabendra Debroy took a tough stand against drugs after joining the district.
বিশৃংখলতাৰ মাজত ৭৩ সংখ্যক স্বাধীনতা দিৱস উদযাপন, অনিমন্ত্ৰিত হৈ ৰ’ল সাহিত্যিক পেঞ্চনাৰ	73rd Independence Day Celebrated Amid Chaos, Literary Pensioners Remain Uninvited
মঙলবাৰে দিনৰ প্ৰায় ১২.৩০ বজাত ওদালগুৰি জিলাৰ ৰৌতা আৰক্ষীয়ে ভাৰপ্ৰাপ্ত আৰক্ষী বিষয়া হেমন্ত বৰুৱাৰ নেতৃত্বত এক বিশেষ সূত্ৰৰ পৰা লাভ কৰা খবৰৰ ভিত্তিত শোণিতপুৰ জিলাৰ তেজপুৰ আৰক্ষী থানাৰ অন্তৰ্গত হাতীবিলখানাৰ পৰা অপৰাধী ছহৰ আলীক ৰৌতা আৰক্ষী থানাত ভাৰতীয় দণ্ডবিধি আইনৰ ৩৯৫ ধাৰাৰ অধীনত ৪৩/১৯ নম্বৰত ৰুজু হোৱা গোচৰৰ ভিত্তিত গ্ৰেপ্তাৰ কৰিবলৈ সক্ষম হয়।	At around 12.30 hours on Tuesday, the Routa Police of Udalguri district, acting on a tip-off from a special source led by Officer-in-Charge Hemanta Baruah, were able to arrest the criminal Chahar Ali from Hatibilkhana under Tezpur Police Station in Sonitpur district on the basis of a case registered at 43/19 number under Section 395 of the Indian Penal Code at Routa Police Station.
আফগানিস্তানে পৰাস্ত কৰিব লাগিব নিউজিলেণ্ডক, বা নামিবিয়া-স্কটলেণ্ডৰ হাতত পৰাস্ত হ’ব লাগিব পাকিস্তান।	Afghanistan will have to beat New Zealand, or Namibia - Pakistan will have to lose to Scotland.
সাঁতোৰ প্ৰতিযোগিতাত অংশগ্ৰহণেৰে এই খ্যাতি অৰ্জন কৰিছিল তেওঁ।	He achieved this fame by participating in swimming competitions.
প্ৰাপ্ত তথ্য অনুসৰি সন্ধিয়া ৭ মান বজাত ডবকাৰ পৰা হোজাই অভিমুখে এ এছ ০২ এল ৭৬৭৫ নম্বৰৰ মটৰ চাইকেল লৈ দুজন যুৱক গৈ আছিল ৷	According to the information received, two youths were going on a motorcycle bearing number AS 02L 7675 from Dabka towards Hojai at 7 pm.
নিয়মীয়া বাৰ্তা, ২৪ ছেপ্টেম্বৰঃ গুৱাহাটী আৰু নিউ বঙাইগাঁৱৰ মাজত যাত্রীবাহী ৰে’লসেৱাৰ শুকুৰবাৰে শুভাৰম্ভণি কৰে কেন্দ্রীয় ৰাজ্যিক মন্ত্রী দর্শনা জাৰদোশে৷	Regular Message, September 24: Union Minister of State Darshana Jardosh on Friday inaugurated the passenger train service between Guwahati and New Bagaichaon.
বন্যহস্তী কেইটাই কৃষিভূমি বিনষ্ট কৰাৰ লগতে গছ গছনিৰো বিস্তৰ ক্ষতিসাধন কৰে।	Some of the wild animals destroy agricultural land and cause extensive damage to trees and plants.
ৰাজ্যখনৰ মুখ্য নিৰ্বাচনী আয়োগে সদৰি কৰা মতে, ভোটদানত বাধা দিছে নক্সালবাদীয়ে।	According to the state's Chief Election Commission, voting was disrupted by Naxalites.
উল্লেখ্য যে, গোৱালপাৰা জিলাৰ পৰা দিনে নিশাই অতিৰিক্ত ভাবে মাটি কঢ়িওৱাই অনা  ডাম্পাৰ যোগীঘোপালৈ যাতায়াত অব্যাহত ৰাখিছে ।	"It may be noted that the dumpers continue to transport excess soil from Goalpara district to Jogighopa day in and day out of the district. < ref name = ""https: / / www.yogighopa.gov.in /"" > < / ref > < ref name = ""https: / / www.yogighopa.gov.in"" > < / ref > < ref name = ""https: / / / www.yogighopa.gov.in"" > < / ref > < ref name = ""https: / / / www.yogighopa.gov.in"" > < / ref > < ref name = ""https: / / / / www.google.gov.in"" > < / ref > < ref name = ""https: / / / / / www.google.gov.in"" > < / ref > < ref name = ""https: / / / ref > < ref name ="" https: / / / ref > < / ref >"
অইল ইণ্ডিয়াৰ কৰ্মচাৰী প্ৰাঞ্জল জ্যোতি শইকীয়া আৰু প্ৰীতি ৰেখা বড়াৰ পুত্ৰ আয়ুষ্মান।	Ayushmann is the son of Oil India employee Pranjal Jyoti Saikia and Preeti Rekha Vada.
অমিতাভ চক্ৰৱৰ্তী, ধুবুৰী	Amitava Chakraborty, Dhubri
ঋতুপৰ্ণক লোৰ ৰ’ড আৰু চোকা অস্ত্ৰৰে ডিঙিত আঘাত কৰিছিল পিছফালৰ পৰা আৰু দোকানখনৰ সন্মুখতে ঋতুপৰ্ণ ঢলি পৰিছিল।	Rituparno was stabbed in the neck with an iron rod and a sharp-edged weapon from behind and Rituparno collapsed in front of the shop.
এই ছবিখনৰ মুখ্য ভূমিকাত নিজেই অভিনয় কৰিছে নির্মাতা আইমী বৰুৱাই৷	Producer Aimee Barua himself plays the lead role in this film.
চৰকাৰৰ বিৰুদ্ধে বিজেপি নেতাৰ প্ৰতিবাদ! কলে, মই জৰিমনা দিবলৈ প্ৰস্তুত	I am ready to pay fine, says BJP leader protesting against govt
বিচনা এখনত তেওঁ দীঘল দি পৰি আছিল।	He was lying on a long bed.
সভাখনৰ যোগেদি চৰকাৰৰ ওচৰত বিধায়িকা গৰাকীয়ে শীঘ্ৰে সীমাবিবাদ সমাধান কৰি সীমান্তত বাসবাস কৰা ৰাইজৰ নিৰাপত্তাৰ ব্যৱস্থা কৰিবলৈ দাবী জনায় ।	Through the meeting, the legislator demanded the government to resolve the boundary dispute soon and provide security to the people living on the border.
আনকি হাওৰাৰ শালিমাৰ ৰে’ল য়ার্ডত লোহাৰ শিকলিৰে বান্ধি থোৱা হৈছে ৰে’ল৷	Even trains are tied with iron chains at Shalimar rail yard in Howrah.
১৯৯০চনৰ পৰাই বৃহত্তৰ নগালেণ্ডৰ দাবীত এন এছ চি এন (আই এম)ৰ সৈতে আলোচনা হৈ আছিল।	The demand for a Greater Nagaland had been under discussion with the NSCN (IM) since the 1990s.
ছোৱাইন ফ্লুত আক্ৰান্ত হৈ পিতৃৰ মৃত্যু হোৱাৰ খবৰ গমেই নাপায় পুত্ৰ গণেশ প্ৰসাদে।	Son Ganesh Prasad does not like the news of his father's death from swine flu.
সংবাদ মেলত তেওঁ কয়, গুৱাহাটীত আজিৰে পৰা ৰেপিড টেষ্ট আৰম্ভ হৈছে।	Speaking at the press conference, he said, Rapid testing has started in Guwahati from today.
জানিব পৰা মতে, ৰজনী কলিতা আৰু বিকাশ সন্যাসী নামৰ যুৱক দুজনে এখন স্কুটিৰে বিপৰীত দিশৰ পৰা আহি থকা এএছ-২৫-ডিচি০৪৩৬ নম্বৰৰ এখন টাটা মেজিক গাড়ীত তীব্ৰবেগে খুন্দা মৰাত দুয়ো যুৱক পথৰ দাঁতিত উফৰি পৰে।	Reportedly, Rajani Kalita and Bikash Sanyasi, both youths, jumped onto the roadside after a Scooty rammed into a Tata Magic car bearing number AS-25-DC0436 coming from the opposite direction.
কিছু সময়ৰ পাছতেই ভাৰতে লাভ কৰিব প্রথমখন ৰাফেল যুঁজাৰু বিমান	India is set to receive its first Rafale fighter jet in a short span of time.
উল্লেখ্যযে মাণিক বৰ্মন নামৰ এইজন বিতৰ্কিত তথা বহুৰূপী ব্যক্তিৰ নামত কাকৈজনা পঞ্চায়ত আধাৰ কেন্দ্ৰ এটা অনুমোদন লাভ কৰিছিল ৷	It may be recalled that a few Panchayat Aadhaar Kendras were sanctioned in the name of this controversial and multi-faceted person named Manik Burman.
অনশনৰ দিনৰ কথা সুঁৱৰি তেওঁ আক্ষেপ কৰি কয়- ২০০০চনৰ ৫ নৱেম্বৰ, মণিপুৰত যিদিনা প্রথম জনসমাগমত অনশনৰ কথা ঘোষণা কৰিছিলোঁ, মোক ঘেৰি প্রায় এশ মানুহ আছিল।	"Recalling the day of the hunger strike, he lamented, ""On November 5, 2000, the day I announced my first mass hunger strike in Manipur, I was surrounded by about a hundred people."
তেওঁৰ এই অতুলনীয় কাব্যযাত্ৰাই অসমীয়া কবিতাক মহীয়ান কৰি তুলিছিল।	It was his unparalleled poetic journey that made Assamese poetry great.
বৰপেটা চহৰৰ মাজ মজিয়াত অৱস্থিত V2 নামৰ শ্বপিংমলখনত বুধবাৰে হাফিজুৰে  নিৰ্যাতন চলাইছিল ।	V2, a shopping mall located in the heart of Barpeta town, was molested by Hafizur on Wednesday.
লাভলিনাৰ উপৰি ভাৰতৰ দ্বিতীয়টো স্বৰ্ণ পদক জয় কৰে পুৰুষৰ ৫৭ ক্জি শাখাত নীৰজে।	Apart from Lovlina, Neeraj won India's second gold medal in the men's 57kg category.
আলোচনাচক্ৰৰ পিছতে বঁটা বিতৰণী সভা অনুষ্ঠিত হয়।	The symposium was followed by a prize distribution ceremony.
একেদৰে অসমৰ প্রথমগৰাকী খেলুৱৈ হিচাপে লাভলীনাই অলিম্পিকৰ মঞ্চত পদক জয়েৰে সমগ্র ৰাজ্যবাসীক গৌৰৱান্বিত কৰিছিল৷	Similarly, Lovlina made the entire state proud by becoming the first athlete from Assam to win a medal on the Olympic stage.
কেবক লৈ মাত মাতক।	Talk to the cab.
এইক্ষেত্রত আমি আলোচনাৰ প্রক্রিয়াটো অধিক আগুৱাই নিবৰ বাবে মুখ্যমন্ত্রীক বিশেষ উদ্যোগ ল’বলৈ আহ্বান জনাম৷	In this regard, we would urge the Chief Minister to take special initiative to take the dialogue process further.
হাৰিয়ানাৰ স্বাস্থ্য তথা ক্ৰীড়া মন্ত্ৰী অনিল বিজে দেওবাৰে মন্তব্য কৰে যে- দীৰ্ঘসময়ৰ বাবে নিৰ্বাচনী আচৰণবিধি জাৰি কৰিলে বিকাশৰ ক্ষেত্ৰত বাধা সৃষ্টি হয়।	Haryana's Health and Sports Minister Anil Vij on Sunday remarked that issuing election code of conduct for a long period hampers development.
কাশ্মীৰক লৈ প্ৰতিক্ৰিয়া ডোনাল্ড ট্ৰাম্পৰ, VIDEO	Donald Trump's response to Kashmir, video
সেয়েহে এনে বৌদ্ধিক, সামাজিক ঐক্য আৰু সংহতিৰ বাবে কাম কৰা এই লেখকসকলক আমি নিঃসন্দেহে নতুন সমাজৰ একোজন ৰূপকাৰ বুলি ক’ব পাৰোঁ আৰু তেওঁলোকৰমৌলিক গ্রন্থৰাজিক আমি নিঃসন্দেহে ক’ব লাগিব সমাজৰ আত্মা বুলি৷	Therefore, we can undoubtedly call these writers who worked for such intellectual, social unity and solidarity as one of the formers of the new society and their original bibliography we must undoubtedly call the soul of the society.
কিন্ত বৰ্তমান লক ডাউনৰ সময়ত পৰিয়ালটো আৰ্থিক ভাৱে জুৰুলা হৈ পৰা লগতে এমুঠি অন্নৰ বাবে হাহাকাৰ কৰিব লগা হৈছে।	But now, during the lockdown, the family is financially strapped and has to scramble for a handful of food.
বগা চন্দন দান কৰক৷	Donate white sandalwood.
নির্বাচনী প্রচাৰ সভাৰ মাজতে সংবাদ মাধ্যমক সম্বোধন কৰি সভাপতি বৰাই মুখ্যমন্ত্রী ড০ শর্মাই নির্বাচনী আচৰণবিধি ভংগ কৰি ৰাইজক প্রলোভিত আৰু প্রতাৰণা কৰি ৰাজনৈতিক ইতিহাস কলুষিত কৰাৰ অভিযোগ কৰে৷	Addressing the media on the sidelines of the election campaign meeting, Chairman Bora accused Chief Minister Dr. Sarma of tarnishing the political history by luring and harassing the people in violation of the election code of conduct.
ধোকাবাজ, বিশ্বাসঘাতকৰ লগত কেনেকৈ সম্পর্ক ৰাখিম বুলিও বৰাই প্রশ্ন উত্থাপন কৰে৷	Bora also raises the question of how to relate to the cheater, the traitor.
গেট হাস্পতালৰ সহকাৰী পৰিচালক ধীৰাজ বৈশ্যই আঁত ধৰা কাৰ্যসূচীত বহু জ্যেষ্ঠ নাগৰিক উপস্থিত থাকে।	Many senior citizens attend the program, which is conducted by Dhiraj Baishya, the assistant director of the gate hospital.
ভাৰতীয় প্রশাসনিক সেৱাৰ বিষয়াক অসমীয়া পঢ়াব লাগে।	Officers of the Indian Administrative Service are required to teach Assamese.
লগতে আগন্তুক বিধানসভা নিৰ্বাচনতো দলটোৱে গুৰুত্বপূৰ্ণ ভূমিকা লব বুলিও দাবী কৰে।	He also claimed that the party would play a key role in the upcoming assembly elections.
াঃ প্ৰেমে এক নতুন জীৱন দিয়ে, জীৱন নলয়।	Love gives a new life, not a life.
ইফালে ৰাতাবাৰীৰ বিধায়ক আছিল বৰ্তমানৰ সাংসদ তথা অসম বিধানসভাৰ প্ৰাক্তন উপাধ্যক্ষ কৃপানাথ মাল্লা।	Meanwhile, the MLA from Ratabari was Kripanath Malla, a sitting MP and former Deputy Speaker of the Assam Legislative Assembly.
দেশৰ বিকাশ সর্বব্যাপক হোৱাৰ লগতে সার্বজনীন হোৱাৰ উপৰি ইয়াৰ জৰিয়তে সকলোকে প্রতিপালন কৰিব পৰা হ’ব লাগে বুলি কয় প্রধানমন্ত্রী মোদীয়ে৷	Prime Minister Modi said that the development of the country should be all-encompassing and universal, and everyone should be nurtured through it.
মহিলাগৰাকীৰ পৰিয়ালৰ লোকে জানিবলৈ দিয়া মতে, ভোক-পিয়াহেৰে ৰে’ল যাত্ৰা আৰু প্ৰচণ্ড গৰমৰ বাবে আদবাটতে তেওঁৰ স্বাস্থ্যৰ অৱনতি ঘটিছিল।	According to the woman's family members, her health deteriorated suddenly due to the hunger-striking train journey and the scorching heat.
